verse,actor,direct_record,classification,editorial_boundary
Luke 19:1,Jesus,"entered Jericho and was passing through",본문이 직접 말함,"no reason for route inferred"
Luke 19:2,Zacchaeus,"named Zacchaeus; chief tax official; wealthy",본문이 직접 말함,"no family or source of wealth recorded"
Luke 19:3,Zacchaeus,"wanted to see who Jesus was; crowd and short stature blocked view",본문이 직접 말함,"no earlier knowledge or private emotion recorded"
Luke 19:4,Zacchaeus,"ran ahead and climbed a sycamore-fig tree to see Jesus",본문이 직접 말함,"no shame or social reaction recorded"
Luke 19:5,Jesus,"looked up; called Zacchaeus by name; told him to come down; said he would stay at his house",본문이 직접 말함,"no prior relationship explained"
Luke 19:6,Zacchaeus,"came down quickly and welcomed Jesus joyfully",본문이 직접 말함,"no house conversation recorded"
Luke 19:7,all who saw,"called Zacchaeus a sinner and complained about Jesus entering as his guest",사람들이 한 말,"keep crowd evaluation attributed to crowd"
Luke 19:8,Zacchaeus,"promised half his possessions to the poor and fourfold repayment if he had cheated anyone",본문이 직접 말함,"keep repayment conditional; no victims or amounts named"
Luke 19:9,Jesus,"said salvation came to the house and Zacchaeus was also a son of Abraham",본문이 직접 말함,"do not expand into a full doctrine of salvation"
Luke 19:10,Jesus,"said the Son of Man came to seek and save the lost",본문이 직접 말함,"promise fulfillment and later life are not recorded"
