sequence,passage,scene,direct_text,evidence_level,interpretation_limit
1,Matthew 10:3; Mark 3:18; Luke 6:15,Twelve lists,Thomas is named among the Twelve,Direct statement,No family occupation or calling scene is supplied
2,John 11:16,Return to Judea,Thomas says the disciples should go and die with Jesus,Direct statement,The text does not settle whether the motive is courage loyalty pessimism or a mixture
3,John 14:5,Farewell discourse,Thomas says they do not know Jesus destination or the way,Direct statement,The question cannot prove that Thomas alone failed to understand
4,John 20:24,First resurrection appearance,Thomas is absent when Jesus first appears to the gathered disciples,Direct statement,The reason for his absence is unknown
5,John 20:25,Witness report,Thomas asks to see and inspect the wounds before believing,Direct statement,The demand should not be excused
6,John 20:19-20,Evidence comparison,The other disciples see Jesus hands and side before rejoicing,Direct statement,The text does not say they demanded this evidence
7,Matthew 28:17; Luke 24:37-41,Parallel resurrection responses,Other disciples also experience doubt or fear,Direct statement,The individuals are not named
8,John 20:27-28,Second appearance,Jesus offers the requested inspection and Thomas confesses Jesus as Lord and God,Direct statement,The text does not say whether Thomas physically touched the wounds
9,John 21:2,Sea of Tiberias,Thomas is with the disciples during another resurrection appearance,Direct statement,The scene centers mainly on Peter
10,Acts 1:13,Jerusalem upper room,Thomas remains with the apostolic group after the ascension,Direct statement,The canonical text gives no later individual ministry
11,Later church tradition,India mission,Traditions connect Thomas with India,Later tradition,Ancient tradition is not the same evidence level as a canonical account
