sequence,passage,scene,direct_text,evidence_level,interpretation_limit
1,Luke 8:1-2,Healing background,Mary called Magdalene had been troubled by seven demons and was among women Jesus had healed,Direct statement,The symptoms and exact event are not recorded and must not be assigned a modern diagnosis
2,Luke 8:3,Travel and support,Mary is included among women who used their possessions to provide for Jesus and the Twelve,Direct statement,Her individual wealth and exact contribution are unknown
3,Mark 15:40-41,Galilee to Jerusalem,Women including Mary Magdalene had followed and helped Jesus in Galilee and came to Jerusalem,Direct statement,The exact beginning of her following is not recorded
4,Matthew 27:55-56; Mark 15:40-41; Luke 23:49; John 19:25,Crucifixion,Mary Magdalene is named by Matthew Mark and John among women at the crucifixion while Luke refers to women from Galilee,Parallel direct statements,Luke does not name her in the crucifixion verse itself
5,Matthew 27:61; Mark 15:47,Burial,Mary Magdalene watches where Jesus is buried,Direct statement,She is not described as leading the burial
6,Matthew 28:1-10,Empty tomb Matthew,Mary Magdalene and the other Mary go to the tomb and later meet Jesus,Direct statement,Matthew narrates the women together
7,Mark 16:1-8,Empty tomb Mark,Mary Magdalene Mary mother of James and Salome go with spices and receive a message,Direct statement,The earliest major manuscripts end at verse 8
8,Luke 24:1-12,Empty tomb Luke,Mary Magdalene Joanna Mary mother of James and other women report the empty-tomb message,Direct statement,The apostles initially do not believe the women
9,John 20:1-2,Empty tomb John,Mary arrives while it is dark and reports the moved stone to Peter and another disciple,Direct statement,She initially thinks the body was taken away
10,John 20:10-15,Staying and weeping,Mary remains outside the tomb and does not first recognize Jesus,Direct statement,The cause of non-recognition is not supplied
11,John 20:16-17,Name and recognition,Jesus calls Mary by name and she answers Rabboni before being sent to the disciples,Direct statement,The scene does not reveal every emotion or later theological understanding
12,John 20:18,Witness report,Mary tells the disciples that she has seen the Lord and reports Jesus words,Direct statement,John does not narrate their immediate response
13,Mark 16:9-11,Longer ending,The longer ending says Jesus appeared first to Mary Magdalene,Textually qualified canonical passage,The oldest major manuscripts lack verses 9-20 so it is not used alone for chronological priority
14,Luke 7:36-50; John 8:1-11,Unnamed women comparison,Neither passage names Mary Magdalene,Direct-text silence,The text does not identify these women with Mary Magdalene and silence alone does not prove every later historical question
