passage,source_name,subject_name,scene_unit,direct_record,boundary,public_use
"마태복음 9:9","마태복음","마태","세관의 부르심","세관에 앉아 있다가 예수님의 부름을 받고 일어나 따름","내면과 업무 정리 과정은 기록되지 않음","중심 장면"
"마태복음 9:10-13","마태복음","마태","마태의 집 식사","많은 세무원과 죄인이라 불리던 사람들이 예수님·제자들과 식사","참석자 개인과 준비 과정은 기록되지 않음","중심 장면의 결과"
"마태복음 10:2-4","마태복음","마태","열두 제자 명단","세무원 마태라고 기록","개별 사역은 이 명단에서 설명하지 않음","인물 신분"
"마가복음 3:16-19; 누가복음 6:13-16","마가복음·누가복음","마태","열두 제자 명단","마태라는 이름을 기록","직업 표시는 없음","짧은 보조 장면"
"사도행전 1:12-14","사도행전","마태","승천 뒤 기도 모임","다른 사도들과 이층 방에 모여 기도","이후 개별 행적은 기록되지 않음","마지막 명명 장면"
"마가복음 2:13-17","마가복음","알패오의 아들 레위","세관의 부르심과 식사","세관에서 부름받아 따르고 레위의 집에서 식사","마태라는 이름과의 관계는 본문이 설명하지 않음","평행 장면 비교"
"누가복음 5:27-32","누가복음","레위","세관의 부르심과 큰 잔치","모든 것을 두고 따르며 자기 집에서 큰 잔치를 엶","마태복음에 없는 세부를 마태 직접 기록으로 옮기지 않음","평행 장면 비교"
"누가복음 19:1-8","누가복음","삭개오","여리고의 세무서장과 배상 발언","부자 세무서장으로 소개되고 재산의 반과 조건부 네 배 배상을 말함","삭개오의 직책과 발언을 마태의 행동으로 옮기지 않음","앞선 시리즈 인물과 직업 배경 비교"
"레위기 명칭과 레위 지파","성경 책 명칭","레위 지파","레위기라는 책 이름","책의 많은 부분이 레위 지파 출신 제사장들의 관심사를 다루어 붙은 이름","복음서의 세무원 레위와 같은 인물이 아니며 그의 혈통을 뜻하지도 않음","동음 이름 혼동 방지"
"마태복음 9:9; 마가복음 2:14; 누가복음 5:27의 교회 전통","교회 전통","마태·레위","평행 부르심 인물의 동일시","세 대응 장면을 같은 인물의 이야기로 읽음","복음서 본문은 두 이름의 관계나 이름 변경을 직접 설명하지 않음","초심자에게 일반적인 이해와 본문 경계를 함께 설명"
"마가복음 2:14; 마가복음 3:18; 네 제자 명단; 초기 해석 전승","본문 차이·초기 해석","레위·마태","두 인물을 구분하는 해석","레위가 제자 명단에 없고 알패오의 아들로 소개되며 초기 문헌에도 구분한 해석이 전해짐","별개 인물 여부도 복음서 본문이 직접 확정하지 않음","동일 인물 해석과 나란히 근거와 한계를 설명"
"마태복음 표제와 초기 교회 전승","후대 전승","사도 마태","복음서 저자 귀속","오랜 교회 전승이 마태복음을 사도 마태와 연결","복음서 본문은 저자를 마태라고 직접 밝히지 않음","한 문단의 범위 설명"
