stage,passage,direct_record,public_use,boundary
name,JHN 1:40-42,"Andrew brings Simon; Jesus says he will be called Cephas; KOERV note says Cephas and Peter both mean rock","Explain Simon/Peter name","Do not infer a fixed rocky personality"
calling,MAT 4:18-20,"Simon Peter and Andrew are fishermen casting a net; they leave the nets and follow Jesus","Introduce his work and call","Keep Matthew's scene distinct from John's first meeting"
water,MAT 14:28-31,"Peter steps out of the boat, walks toward Jesus, fears the wind, sinks, and cries for help","One supporting scene","Do not diagnose impulsiveness"
confession,MAT 16:15-23,"Peter calls Jesus the living God's Son and Christ; then resists the suffering prediction and is rebuked","Show clear confession beside incomplete understanding","Do not treat the rebuke as proof the confession was false"
prediction,LUK 22:31-34,"Peter says he is ready for prison and death; Jesus predicts three denials before the rooster","Set up central event","Other Gospels phrase the promise differently"
denial_matthew,MAT 26:58 69-75,"Peter follows at a distance; three denials; rooster; remembers; goes out and weeps bitterly","Shared event plus Matthew ending","Questioners and wording differ across accounts"
denial_mark,MRK 14:54 66-72,"Peter follows at a distance to the fire; three denials; rooster crows a second time; he remembers and weeps","Record Mark's unique crow count","Some manuscripts differ at 14:68; public prose uses final second crow"
denial_luke,LUK 22:54-62,"Peter follows at a distance; three denials; rooster; Jesus looks at Peter; he remembers and weeps bitterly","Opening quotation and central narrative","Jesus' look is Luke's detail; do not invent its emotion"
denial_john,JHN 18:15-18 25-27,"Peter enters the courtyard and warms himself; three denials; the third questioner is Malchus's relative; rooster","Record John's unique witness detail","John does not record Peter's tears here"
shore,JHN 21:1-14,"Seven disciples fish at night; at dawn they meet Jesus; charcoal fire fish and bread are on shore","Set up later scene","The reason Peter went fishing is not given"
commission,JHN 21:15-19,"Three love questions; feed or tend the lambs and sheep; Jesus again says follow me","Ground 'entrusted again' title","Text does not explicitly say each question cancels one denial"
witness,ACT 2:14 32 40-41,"Peter stands with the Eleven and speaks; three thousand people are added","Show canonical after-scene","Do not credit Peter alone"
witness,ACT 4:18-20,"Peter and John say they cannot stop speaking about what they saw and heard","Contrast with courtyard denial","Their reply is shared, not Peter alone"
