section,benchmark,qwen38_score,qwen37_score,qwen38_rank,compared_models,leader,qwen38_beats_qwen37
Coding Agent,Terminal Bench 2.1,86.6,74.5,2,5,GPT5.6 Sol (max),True
Coding Agent,SWE-bench Pro,67.7,60.6,3,5,Fable5,True
Coding Agent,DeepSWE 1.1,56.6,21.6,4,5,GPT5.6 Sol (max),True
Coding Agent,NL2Repo-Bench,55.9,47.2,2,3,Opus4.8,True
Coding Agent,FrontierSWE,73.5,40.7,2,4,Fable5,True
Coding Agent,MLS-Bench-Lite,41.0,31.7,4,5,Fable5,True
Coding Agent,PaperBench,93.0,64.8,1,5,Qwen3.8-Max,True
Coding Agent,AndroidBench,75.1,56.5,2,5,Fable5,True
Coding Agent,QwenSWEBench,80.7,63.4,3,5,Fable5,True
Coding Agent,QwenQoderBench,58.4,36.8,3,5,Fable5,True
Coding Agent,QwenReactBench,1724.0,1538.0,2,5,Fable5,True
Coding Agent,QwenSVGBench,1713.0,1499.0,2,5,GPT5.6 Sol (max),True
General Agent,CoWorkBench,74.8,64.6,2,5,Fable5,True
General Agent,WorkSpaceBench,67.7,61.4,2,5,Fable5,True
General Agent,JobBench,53.4,31.3,2,5,Fable5,True
General Agent,SkillsBench,70.2,61.2,3,5,GPT5.6 Sol (max),True
General Agent,Automation-Bench (Pass@1),27.3,14.2,3,5,GPT5.6 Sol (max),True
General Agent,Toolathlon Verified (Pass@1),72.5,49.7,4,5,Fable5,True
General Agent,WideSearch,81.9,75.2,1,4,Qwen3.8-Max,True
General Agent,HLE w/ tools,56.2,53.5,4,5,Fable5,True
General Capabilities,GPQA Diamond,92.6,92.4,2,5,GPT5.6 Sol (max),True
General Capabilities,HLE,43.6,41.4,4,5,Fable5,True
General Capabilities,IFBench,82.8,79.1,1,5,Qwen3.8-Max,True
General Capabilities,$OneMillion-Bench (expert score),52.5,44.4,3,5,Fable5,True
General Capabilities,HealthBench,60.2,54.5,1,4,Qwen3.8-Max,True
General Capabilities,PLawBench,73.2,58.9,1,5,Qwen3.8-Max,True
General Capabilities,PRBench-Legal,57.6,48.5,1,5,Fable5 / GPT5.6 Sol (max) / Qwen3.8-Max,True
General Capabilities,PRBench-Finance,58.3,46.8,1,5,Qwen3.8-Max,True
General Capabilities,MRCR v2 256K (8-needle),92.9,86.7,2,4,GPT5.6 Sol (max),True
General Capabilities,LongBench v2,66.3,65.3,3,4,Opus4.8,True
