stage,passage,direct_record,public_use,boundary
first_following,JHN 1:35-40,"Two disciples hear John the Baptist and follow Jesus; one is Andrew; they stay with Jesus that day","Open Andrew's documented encounter before Simon appears","The other disciple is unnamed; do not rank Andrew as the sole first disciple"
brother,JHN 1:41-42,"Andrew tells Simon they found the Messiah and brings him to Jesus; Jesus says Simon will be called Cephas or Peter","Central event and connection to the previous Peter post","Do not say Andrew foresaw Peter's future or caused the new name"
hometown,JHN 1:44,"Philip is from Bethsaida, the town of Andrew and Peter","Compact overview","Do not add unrecorded childhood or family history"
calling,MAT 4:18-20; MRK 1:16-18,"Simon and Andrew are fishermen casting a net; they leave the nets and follow Jesus","Show the brothers' lakeside call","Keep this scene distinct from John's first-meeting scene"
house,MRK 1:29,"Jesus and the disciples enter the house of Simon and Andrew","Show Andrew in the early Galilean setting","Do not infer ownership shares or household structure"
twelve,MAT 10:2; MRK 3:18; LUK 6:14,"Andrew is named among the Twelve; Matthew and Luke identify the brother relationship","Establish his role among the disciples","Do not import later church-office claims"
food,JHN 6:8-9,"Andrew reports a boy has five barley loaves and two small fish and says they appear insufficient","Supporting action scene","Do not say Andrew brought the boy or initiated the miracle"
visitors,JHN 12:20-22,"Philip tells Andrew about Greeks who wish to see Jesus; Andrew and Philip tell Jesus","Supporting action scene and three-scene comparison","The text does not say why Philip approached Andrew"
question,MRK 13:3-4,"Andrew joins Peter James and John in asking privately about the temple's destruction and signs","Show Andrew asking and listening with other disciples","The question is collective rather than an individual Andrew speech"
upper_room,ACT 1:12-14,"Andrew is in the apostle list after the ascension; the group gathers and prays","Close at the final canonical named scene","Later mission fields and death are not recorded in the New Testament"
