matrix=hiccup-source-matrix.csv
claims=11
sources=6
cells=66
claim_id	yes	partial	not_addressed	claim
C01	4	1	1	diaphragm_spasm_then_glottis_closure
C02	6	0	0	acute_hiccups_are_often_self_limited
C03	3	1	2	gastric_distension_or_large_meal_can_trigger
C04	4	0	2	carbonated_drinks_or_alcohol_can_trigger
C05	3	0	3	stress_or_excitement_can_trigger
C06	6	0	0	over_48_hours_is_persistent_boundary
C07	4	0	2	over_one_month_is_intractable_boundary
C08	5	1	0	persistent_hiccups_warrant_cause_or_medication_review
C09	5	0	1	brief_breath_hold_or_cold_water_may_be_tried
C10	4	1	1	no_home_method_is_universally_proven_or_evidence_is_limited
C11	4	2	0	eating_sleeping_breathing_or_neurologic_impact_changes_response
