tier,item,role,reader_action,reason,scope_or_exception,source
바로 검토,아세트아미노펜 단일제,열·몸살·통증,산모 금기와 중복 성분이 없으면 제품 표시 용법 범위에서 검토,모유 중 양이 영아 치료 용량보다 훨씬 적고 이상반응이 드묾,간질환·다른 감기약의 아세트아미노펜 중복 확인,LactMed 2026-04-15
바로 검토,이부프로펜 단일제,열·몸살·통증,산모 금기와 중복 성분이 없으면 제품 표시 용법 범위에서 검토,모유 중 농도가 매우 낮고 반감기가 짧음,NSAID 과민증·신장·위장관 위험 확인,LactMed 2025-08-15
바로 검토,덱스트로메토르판 단일제,마른기침,무알코올 단일제를 우선 검토,모유 중 양이 매우 낮음,다른 복합성분과 시럽 알코올 확인,LactMed 2025-09-15
바로 검토,세티리진·로라타딘 단일제,콧물·재채기,건강한 만삭아 수유 시 우선 검토,비진정성 항히스타민제 중 선호,영아 졸림·수유 저하 관찰,NHS SPS 2026-02-05
바로 검토,옥시메타졸린 비강 스프레이,코막힘,제품 표시 사용기간 안에서 국소제를 우선 검토,전신 흡수가 제한되어 경구 슈도에페드린보다 우선,수유부 직접 연구 없음,LactMed 2025-02-15
먼저 확인,클로르페니라민·트리프롤리딘,콧물·재채기,짧게·간헐적으로 쓸지 약사에게 확인,졸림이 있는 1세대 항히스타민제,영아 졸림·보챔·수유 저하 관찰,MFDS 2025-06-25; NHS SPS 2026-02-05
먼저 확인,슈도에페드린·메틸에페드린 경구제,코막힘·기침,모유량이 적거나 확립 전이면 우선 피하고 대체약 문의,모유 분비 감소 가능성,슈도에페드린 수치 근거는 8명 1회 연구,MFDS 2025-06-25; LactMed 2026-04-20
먼저 확인,구아이페네신,가래,특히 생후 2개월 이하 영아면 약사에게 먼저 확인,직접 연구는 없지만 통상 용량 위해 가능성은 낮음,고알코올 시럽 피함,LactMed 2026-04-15
먼저 확인,판피린티정,열·콧물 등 복합 증상,집에서 바로 먹는 첫 선택으로 두지 않고 약사에게 성분과 상황 확인,아세트아미노펜·클로르페니라민·카페인 복합,열만 있으면 아세트아미노펜 단일제가 더 단순,동아제약; LactMed; NHS SPS
자가복용 피함,액티피드정,콧물·코막힘,복용하지 않고 수유 중 쓸 대체약 요청,국내 허가정보가 수유부를 복용하지 말 사람으로 명시,다른 슈도에페드린 제품까지 자동 일반화하지 않음,약학정보원 공개 허가정보 2026-07-29
자가복용 피함,코데인·트라마돌 함유 처방약,기침·통증,남은 처방약을 임의 복용하지 않고 대체약 문의,FDA가 사용 중 수유를 권하지 않음,임의 단유보다 처방 의료진에게 대체 지시 확인,FDA
자가복용 피함,고용량·반복 아스피린,열·통증,감기 해열 목적으로 자가복용하지 않고 아세트아미노펜·이부프로펜 대체 검토,고용량에서 모유 살리실산 농도가 불균형하게 증가,처방 저용량 아스피린은 임의 중단 금지,LactMed 2026-04-15
