company,base,segment,representative_system,environment,intervention_evidence,deployment_evidence,expansion_evidence,stage_4,current_goal,source_url,checked_kst
FANUC,Japan,industrial arms,"R-2000i / CRX",structured factory,"programmed repeat operation; normalized intervention rate not public",cumulative shipments reached 1 million in Aug 2023,"vision force sensing and AI broaden applications",scaled_operation,Expand factory automation with sensing AI and lifetime support,https://www.fanuc.co.jp/en/profile/pr/newsrelease/2023/notice20230915.html,2026-08-22
ABB,Switzerland,industrial and mobile automation,"industrial arms / Flexley AMR",structured factory and intralogistics,"fixed and mobile autonomy offered; normalized intervention rate not public","integrated commercial portfolio of arms AMRs and machine automation","vision force sensing mobility and generative AI target more variable work",scaled_operation,Add vision mobility and generative AI to industrial automation,https://new.abb.com/news/detail/123778/prsrl-eyes-hands-brains-and-mobility-will-define-robotics-beyond-2025,2026-08-22
Yaskawa,Japan,industrial arms and motion,"MOTOMAN NEXT",structured factory,"programmed operation; normalized intervention rate not public","long-running industrial robot and motion-control supplier","MOTOMAN NEXT and connected automation extend task flexibility",scaled_operation,Shift from individual products to data-linked automation solutions,https://www.yaskawa-global.com/wp-content/uploads/2025/09/YR2025E_A3.pdf,2026-08-22
KUKA,Germany,industrial systems and intralogistics,"industrial arms / Swisslog / AMP",structured factory and warehouse,"rule-based systems are mature; AI-layer intervention rate not public",more than 550000 robots installed globally,"AMP aims to connect deterministic automation with intent-based physical AI",scaled_operation,Bridge deterministic automation and physical AI through AMP,https://www.kuka.com/en-us/company/press/news/2026/03/kuka-amp-nvidia-gtc,2026-08-22
Universal Robots,Denmark,collaborative robots,"UR series",structured and semi-structured workcells,"human-safe collaboration functions; task-specific setup still required",more than 100000 cobots sold,"UR+ kits and AI tools reduce integration effort",scaled_operation,Make automation easier to deploy and extend through UR+ and AI tools,https://www.universal-robots.com/,2026-08-22
Amazon Robotics,United States,warehouse robotics,"Hercules / Proteus / Vulcan / DeepFleet",highly structured fulfillment network,"fleet autonomy at scale; product-level intervention rates not public",one millionth robot deployed across more than 300 facilities in Jun 2025,"DeepFleet and tactile manipulation expand coordination and item handling",scaled_operation,Coordinate fleets and automate more picking and handling,https://www.aboutamazon.com/news/operations/amazon-million-robots-ai-foundation-model,2026-08-22
Symbotic,United States,warehouse systems,"case handling and pallet systems",highly structured warehouses,"system-level automation; normalized intervention rate not public",42 operational systems and 46 systems in deployment in Q3 FY2025 materials,"expand from pallets to cases and eaches as a complete system",repeat_commercial,Automate pallets cases and eaches as complete warehouse systems,https://ir.symbotic.com/static-files/87c326ee-2de4-4fc8-83a4-cd0f93e89c1e,2026-08-22
Locus Robotics,United States,warehouse AMR,"Locus Origin / Array",structured warehouse aisles,"Origin collaborates with human pickers; Array targets zero-touch picking",seven billion customer picks reached Mar 2026,"robotic grasping extends AMR transport into autonomous picking",scaled_operation,Move from human-assisted transport toward zero-touch picking,https://locusrobotics.com/blog/seven-billion-picks-warehouse,2026-08-22
Intuitive Surgical,United States,surgical robotics,"da Vinci / Ion",regulated operating room,"surgeon controlled rather than autonomous surgery",more than 11100 da Vinci systems and 3.1 million da Vinci procedures in 2025,"new indications platforms and regions expand use",scaled_operation,Expand minimally invasive procedures indications and platform use,https://isrg.intuitive.com/static-files/00c12795-0d3a-4d09-b4ed-576424950d48,2026-08-22
Medtronic,Ireland/United States,surgical robotics,"Hugo RAS",regulated operating room,"surgeon controlled rather than autonomous surgery",FDA cleared Hugo for US urologic procedures in Dec 2025,"additional indications and connected operating-room tools are planned",repeat_commercial,Expand indications and connected operating-room access,https://news.medtronic.com/2025-12-03-Medtronic-announces-FDA-clearance-of-Hugo-TM-robotic-assisted-surgery-system-for-urologic-surgical-procedures,2026-08-22
Pudu Robotics,China,commercial service robots,"BellaBot / CC1",semi-structured restaurants retail and commercial buildings,"autonomous navigation with site setup; normalized intervention rate not public",more than 130000 units shipped to more than 85 countries and regions,"shared intelligence is being extended across delivery cleaning industrial and humanoid forms",repeat_commercial,Build one shared intelligence across delivery cleaning industrial and humanoid forms,https://www.pudurobotics.com/en/company,2026-08-22
John Deere,United States,agricultural autonomy,"Autonomous Tractor",bounded outdoor fields,"fully autonomous tillage within configured fields with remote monitoring",autonomy product and retrofit path offered for tillage,"extend autonomy to more machines seasons and tasks",repeat_commercial,Extend hands-free work across more machines seasons and tasks,https://www.deere.com/en-us/products-solutions/tractors/autonomous-tractor,2026-08-22
ANYbotics,Switzerland,industrial inspection,"ANYmal D / X",complex industrial facilities,"autonomous scheduled inspection with remote oversight",one cement-site robot completed more than 33000 inspections over 16 months,"new sensors and analytics expand anomaly detection in hazardous plants",repeat_commercial,Scale remote inspection and anomaly detection in hazardous plants,https://www.anybotics.com/news/vigier-ciment-autonomous-inspection-case-study/,2026-08-22
Boston Dynamics,United States,industrial humanoid,"Atlas",structured but human-designed factories,"company says minimal supervision; normalized customer intervention rate not public",2026 allocations to Hyundai and Google DeepMind announced but delivery and repeat operation not yet evidenced,"move from part sequencing toward machine tending and order building",development_or_preorder,Scale Atlas from sequencing to wider industrial tasks,https://bostondynamics.com/blog/boston-dynamics-unveils-new-atlas-robot-to-revolutionize-industry/,2026-08-22
Agility Robotics,United States,logistics humanoid,"Digit",structured warehouse shared with people,"repeated tote workflow; normalized intervention rate not public",more than 100000 totes moved at GXO in a paid deployment,"cooperative safety and fleet software target more logistics and manufacturing tasks",repeat_commercial,Expand safe paid fleets across logistics and manufacturing,https://www.agilityrobotics.com/content/digit-moves-over-100k-totes,2026-08-22
Figure,United States,general-purpose humanoid,"Figure 02 / 03 / Helix",structured automotive factory and experimental home tasks,"vendor reports repeated autonomous work; intervention rate not published",vendor reports 1250 hours and more than 90000 parts loaded at BMW,"Helix and Figure 03 target longer manufacturing and household tasks",early_commercial_or_customer_validation,Scale Figure 03 and generalist autonomy into work and homes,https://www.figure.ai/news/production-at-bmw,2026-08-22
Tesla,United States,general-purpose humanoid,"Optimus",internal factories and lab,"external customer intervention evidence not public",Q2 2026 filing says Fremont factory construction underway with production anticipated later in 2026,"Gen 3 is intended for mass production and general-purpose autonomy",development_or_preorder,Mass-produce a general-purpose autonomous humanoid,https://ir.tesla.com/_flysystem/s3/sec/000162828026049213/tsla-20260722-gen.pdf,2026-08-22
Apptronik,United States,industrial humanoid,"Apollo",structured manufacturing pilots,"planned pilot tasks include inspection sorting kitting and sub-assembly; intervention rate not public",Jabil pilot and manufacturing collaboration announced but repeat operation not published,"use the manufacturing site to validate more tasks and build supply",development_or_preorder,Validate tasks while building a manufacturable robot supply chain,https://apptronik.com/news-collection/apptronik-and-jabil-collaborate-to-scale-production,2026-08-22
UBTECH,China,industrial humanoid,"Walker S2",structured automotive and electronics factories,"multi-robot workflows claimed; normalized intervention rate not public",company reports 1079 full-size embodied humanoid units sold in 2025 and mass delivery from Nov 2025,"stabilize multi-robot workflows then expand toward services and homes",early_commercial_or_customer_validation,Improve multi-robot industrial workflows then expand toward services and homes,https://www.ubtrobot.com/en/about/company-profile,2026-08-22
Unitree,China,research and developer humanoids,"G1 / H1",lab research and varied demonstrations,"developer programming and teleoperation are central; turnkey task autonomy not established",G1 hardware listed from USD 13500 but customer task deployment and repeat operation are not evidenced,"lower-cost hardware and open datasets grow the developer ecosystem",development_or_preorder,Lower the cost of capable humanoid hardware and grow the developer ecosystem,https://www.unitree.com/mobile/g1/,2026-08-22
1X,Norway/United States,home humanoid,"NEO",unstructured homes,"basic autonomy is supplemented by scheduled remote expert mode",2026 US delivery promised through preorders,"early home data is intended to expand autonomous chores",development_or_preorder,Put a soft safe learning robot into consumer homes,https://www.1x.tech/order,2026-08-22
Rainbow Robotics/Samsung,South Korea,cobots mobile manipulators and future humanoids,"RB series / RB-Y1 / future humanoid",factory logistics and future human environments,"product-specific intervention evidence not disclosed in the cited strategy",Samsung announced a 35 percent controlling stake and a future robotics office,"combine Samsung AI and software with Rainbow robot hardware",development_or_preorder,Combine Samsung AI and global reach with Rainbow robot hardware,https://news.samsung.com/global/samsung-electronics-to-become-largest-shareholder-in-rainbow-robotics-accelerating-future-robot-development,2026-08-22
