sequence,passage,scene,direct_text,evidence_level,interpretation_limit
1,John 3:1,Introduction,Nicodemus is introduced as a Pharisee and a member of the Jewish council,Direct statement,No age family occupation history or personality is recorded
2,John 3:2,Night visit,He came to Jesus at night and addressed him as Rabbi sent from God because of the signs,Direct statement,The text never explains why he came at night and no motive may be assigned
3,John 3:3,Jesus first answer,Jesus answers that no one can see the kingdom of God without being born again,Direct statement,The Greek term also carries the sense of from above and the passage itself plays on the ambiguity
4,John 3:4,First question back,Nicodemus asks how a grown person can be born a second time and enter the mother again,Direct statement,His tone is not described so confusion mockery or sincerity cannot be assigned
5,John 3:9,Last recorded words in chapter 3,Nicodemus asks how these things can be,Direct statement,This is his final speech in the chapter and no reply from him is recorded afterward
6,John 3:10,Jesus response to the question,Jesus notes that he is a teacher of Israel yet does not understand this,Direct statement,The text does not state whether the remark was rebuke or invitation
7,John 3:16-21,Quotation boundary,KOERV closes the quotation mark at verse 15 and prints 16-21 without quotation marks,Translation and editorial evidence,A KOERV footnote states that scholars differ on whether 3:16-21 is Jesus speech or the author's writing
8,John 3:22,Scene end,The narrative moves to Jesus and the disciples going to Judea,Direct-text silence,Nicodemus response decision or departure is not recorded
9,John 7:45-49,Council setting,Temple guards fail to arrest Jesus and Pharisees dismiss the crowd as ignorant of the law,Direct statement,Provides the setting for Nicodemus intervention
10,John 7:50,Reidentification,John identifies him as one of them who had previously gone to meet Jesus,Direct statement,John links the night visit to this scene but does not state a change of heart
11,John 7:51,Legal objection,Nicodemus argues their law does not judge a person before hearing him and learning what he did,Direct statement,He argues procedure and does not state that he believes Jesus
12,John 7:52,Response of the others,They ask whether he is also from Galilee and tell him to search the scriptures,Direct statement,No outcome or vote is recorded and the objection is not said to succeed
13,John 19:38,Joseph of Arimathea,Joseph a secret disciple who feared the Jewish leaders asks Pilate for the body and takes it down,Direct statement,The secrecy note is written about Joseph not about Nicodemus
14,John 19:39,Burial spices,Nicodemus identified as the man who had gone to Jesus at night brought about a hundred litrai of myrrh and aloes,Direct statement,A KOERV footnote gives the Greek as 100 litrai and about 34 kilograms and the text gives no reason for the quantity
15,John 19:40-42,Burial act,The two men wrap the body with the spices in linen and lay it in a new nearby tomb before the Sabbath preparation ends,Direct statement,The account describes a joint act and does not rank the two men
16,Whole New Testament,Name occurrences,The name Nicodemus appears only in the Gospel of John at 3:1 3:4 3:9 7:50 and 19:39,Direct-text census,No other canonical book mentions him and nothing after the burial is recorded
